"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-jsonbin","index_constituency_prices_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_prices_2026-09-02.json.gz",6503,6503,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_prices_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_prices_2026-09-02.bin",306215,306215,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_constituency_pt_frequency_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_pt_frequency_2026-09-02.json.gz",8407,8407,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_pt_frequency_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_pt_frequency_2026-09-02.bin",905944,905944,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_constituency_vehicle_summary_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_vehicle_summary_2026-09-02.json.gz",7832,7832,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_vehicle_summary_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_vehicle_summary_2026-09-02.bin",665612,665612,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_la_access_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_access_2026-09-02.json.gz",4463,4463,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_la_access_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_access_2026-09-02.bin",2712906,2712906,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_la_community_pics_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_community_pics_2026-09-02.json.gz",4178,4178,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_la_community_pics_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_community_pics_2026-09-02.bin",76181,76181,"uploaded","2026-09-02 23:36:00"
